name_ru;slug;description
Сельское хозяйство;agriculture;Производство сельскохозяйственных культур и животноводство.
Лесное хозяйство;forestry;Выращивание, заготовка и переработка древесины.
Рыболовство и аквакультура;fishing;Лов рыбы и разведение водных организмов.
Добыча полезных ископаемых;mining;Добыча нефти, газа, угля, металлов и других ресурсов.
Нефтегазовая промышленность;oil-gas;Разведка, добыча и переработка нефти и природного газа.
Энергетика;energy;Производство и распределение электроэнергии и тепла.
Водоснабжение и канализация;water-supply;Снабжение водой, очистка и отвод сточных вод.
Строительство;construction;Возведение зданий, сооружений и инфраструктуры.
Производство;manufacturing;Переработка сырья в готовую продукцию.
Пищевая промышленность;food-industry;Производство и переработка продуктов питания и напитков.
Химическая промышленность;chemical-industry;Выпуск химических веществ, удобрений и материалов.
Машиностроение;machinery;Производство машин, оборудования и техники.
Металлургия;metallurgy;Производство и обработка металлов и сплавов.
Текстильная и легкая промышленность;textile;Выпуск одежды, обуви и текстильных изделий.
Фармацевтика;pharmaceutical;Разработка и производство лекарств и медицинских препаратов.
Транспорт и логистика;transport-logistics;Перевозка грузов и пассажиров, складская логистика.
Автомобильная промышленность;automotive;Производство и продажа автомобилей и комплектующих.
Авиастроение и космос;aerospace;Разработка и производство летательных аппаратов и спутников.
Информационные технологии;information-technology;Разработка программного обеспечения и IT-услуг.
Телекоммуникации;telecommunications;Связь, интернет и цифровые коммуникации.
Финансы и банки;finance-banking;Финансовые услуги, кредиты, инвестиции, банковская деятельность.
Страхование;insurance;Оценка и управление рисками через страховые услуги.
Инвестиции;investment;Управление активами, венчурные и частные инвестиции.
Недвижимость;real-estate;Разработка, строительство и продажа объектов недвижимости.
Оптовая торговля;wholesale-trade;Закупка и распределение товаров между организациями.
Розничная торговля;retail-trade;Продажа товаров конечным потребителям.
Гостиницы и туризм;hospitality-tourism;Отели, туроператоры и услуги в сфере отдыха и путешествий.
Рестораны и питание;catering;Общественное питание и ресторанный бизнес.
Образование;education;Обучение, подготовка кадров и развитие навыков.
Наука и исследования;research;Научная деятельность и инновационные разработки.
Здравоохранение и медицина;healthcare;Медицинские услуги, клиники, лаборатории и реабилитация.
Фитнес и спорт;sport;Физическая активность, спортивные клубы и тренировки.
Культура и искусство;arts;Музеи, театры, кино и другие культурные учреждения.
Медиа и развлечения;media-entertainment;Средства массовой информации, телевидение, шоу и игры.
Маркетинг и реклама;marketing;Рекламные агентства, продвижение брендов и PR.
Юридические услуги;legal;Правовое сопровождение и адвокатская деятельность.
Консалтинг и аудит;consulting;Бизнес-консалтинг, управление и аудиторские услуги.
Государственное управление;public-administration;Органы власти и муниципальное управление.
Оборона и безопасность;defense-security;Военные и охранные организации.
Некоммерческие организации;non-profit;Общественные и благотворительные объединения.
Экологические организации;environmental;Охрана природы и устойчивое развитие.
Благотворительность;charity;Поддержка социально значимых инициатив и помощь нуждающимся.
ЖКХ;housing-utilities;Обслуживание жилых домов и коммунальная инфраструктура.
Электронная коммерция;ecommerce;Интернет-магазины и онлайн-торговля.
Производство электроники;electronics;Производство бытовой и промышленной электроники.
Обслуживание и ремонт;service-repair;Техническое обслуживание и ремонт оборудования.
Дизайн и архитектура;design-architecture;Проектирование зданий, интерьеров и брендинга.
Инжиниринг;engineering;Инженерные решения и техническое проектирование.
Финтех;fintech;Технологии в финансовом секторе и цифровые платежи.
Биотехнологии;biotechnology;Исследования в области живых организмов и медицины.
Агробизнес;agribusiness;Индустриальное сельское хозяйство и переработка продукции.
Издательство и СМИ;publishing-media;Выпуск книг, газет и онлайн-контента.
Охрана и безопасность;security;Частные охранные предприятия и системы безопасности.
Разработка программного обеспечения;software-development;Создание приложений и цифровых решений.
Криптовалюта и блокчейн;blockchain;Технологии распределённых реестров и цифровые активы.
Образовательные технологии;edtech;Онлайн-обучение и цифровые образовательные платформы.
